id,barrio,tipo_propiedad,tipo_habitacion,capacidad,banios,dormitorios,camas,precio_ars,minimo_noches,cantidad_resenias,puntaje_resenias,superanfitrion,latitud,longitud,noches_ocupadas_anio
11900224,San Nicolas,Entire rental unit,Entire home/apt,2,1,,4,133958,4,10,4.2,no,-34.6062,-58.3908,0
11900383,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,99757,1,617,4.9,si,-34.5809,-58.4319,255
11940292,Recoleta,Entire rental unit,Entire home/apt,4,,,2,142647,3,39,4.95,no,-34.5885,-58.4011,0
11942681,Palermo,Room in aparthotel,Entire home/apt,2,1,1,1,171204,2,139,4.86,si,-34.579,-58.413,162
11948892,Almagro,Tiny home,Entire home/apt,1,1,1,1,53104,3,79,4.86,si,-34.6208,-58.4279,120
11962429,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,153571,3,121,5,no,-34.5838,-58.4131,66
12566806,Retiro,Entire rental unit,Entire home/apt,3,1,,3,94830,1,22,4.32,no,-34.5977,-58.3726,0
12583888,Chacarita,Entire condo,Entire home/apt,2,1,,2,54518,4,25,4.6,no,-34.5887,-58.4438,24
12591138,Almagro,Private room in home,Private room,1,1,,1,78355,2,20,4.8,no,-34.6007,-58.4186,0
12599178,Recoleta,Entire condo,Entire home/apt,2,1,1,1,103769,5,19,4.84,no,-34.5846,-58.4055,50
12601728,Recoleta,Private room in condo,Private room,1,1,,1,102379,1,6,5,no,-34.5936,-58.3897,0
12606651,Monserrat,Entire condo,Entire home/apt,5,1,2,4,113256,1,75,4.44,si,-34.612,-58.3815,18
12606763,Recoleta,Entire rental unit,Entire home/apt,2,1,1,1,393057,10,4,4.75,no,-34.5931,-58.3944,20
9837889,Palermo,Entire rental unit,Entire home/apt,2,1,,2,93800,1,26,4.73,si,-34.595,-58.4148,12
9838586,Caballito,Entire rental unit,Entire home/apt,2,1,,1,64083,1,0,,no,-34.6094,-58.437,0
11965321,Palermo,Entire condo,Entire home/apt,4,2.5,2,3,185136,7,56,4.84,si,-34.584,-58.4232,70
11972026,Palermo,Entire rental unit,Entire home/apt,3,1.5,2,3,179137,9,15,4.93,no,-34.5801,-58.4076,36
11976863,Recoleta,Entire rental unit,Entire home/apt,4,1.5,1,2,154174,3,32,4.91,no,-34.5887,-58.4004,12
12034642,San Telmo,Entire rental unit,Entire home/apt,2,,1,,,2,59,4.78,no,-34.6196,-58.3689,12
12081093,Recoleta,Entire loft,Entire home/apt,4,1.5,1,6,193557,3,15,4.73,no,-34.597,-58.4082,6
12086713,Palermo,Private room in home,Private room,1,,,,,1,9,5,no,-34.5813,-58.4348,0
12891671,Puerto Madero,Entire condo,Entire home/apt,2,1,1,2,66039,15,55,4.22,no,-34.6166,-58.3623,0
9865053,Velez Sarsfield,Entire rental unit,Entire home/apt,3,,1,,,50,0,,no,-34.6284,-58.492,0
9896011,Palermo,Entire loft,Entire home/apt,2,1,1,1,73742,5,10,5,no,-34.5842,-58.441,0
12607863,Puerto Madero,Entire condo,Entire home/apt,4,,2,,,7,6,5,no,-34.6135,-58.3624,0
12628189,Villa Urquiza,Entire rental unit,Entire home/apt,2,1,1,1,67255,28,15,4.93,no,-34.5696,-58.4864,0
12654383,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,89650,7,90,4.64,no,-34.5848,-58.4242,56
12656364,Monserrat,Entire rental unit,Entire home/apt,2,1,1,1,49471,7,40,4.53,no,-34.6107,-58.3845,56
12670836,Belgrano,Entire rental unit,Entire home/apt,2,1,1,1,89200,2,53,4.77,si,-34.5636,-58.4669,96
12681797,Recoleta,Entire loft,Entire home/apt,2,1,,1,93304,3,50,4.8,si,-34.5878,-58.3995,24
12682584,Palermo,Entire condo,Entire home/apt,2,1,,1,78043,3,41,4.66,si,-34.5625,-58.44,0
9903104,Coghlan,Entire rental unit,Entire home/apt,2,1,1,1,63278,20,10,4.9,si,-34.5572,-58.4757,120
9933726,Villa Crespo,Private room in home,Private room,1,1,,1,30582,2,27,4.85,no,-34.6022,-58.4502,0
9941835,Constitucion,Entire condo,Entire home/apt,2,1,1,2,96282,3,11,4.73,no,-34.6183,-58.3798,0
12899000,Palermo,Entire rental unit,Entire home/apt,3,1,1,2,67061,4,22,4.55,no,-34.575,-58.4356,0
12899244,Colegiales,Entire rental unit,Entire home/apt,2,1.5,1,1,70130,10,24,5,si,-34.5761,-58.4463,80
12900361,Recoleta,Entire rental unit,Entire home/apt,3,1,,3,98547,5,36,4.58,no,-34.5946,-58.3907,40
12904952,Colegiales,Entire rental unit,Entire home/apt,3,1,1,1,61045,1,65,4.69,no,-34.5668,-58.4515,66
12934248,Caballito,Entire condo,Entire home/apt,2,1,1,1,73194,2,101,4.92,si,-34.6262,-58.4351,216
12968679,Villa Crespo,Private room in condo,Private room,1,1,,1,60052,3,5,5,no,-34.5917,-58.4357,24
9989655,Palermo,Entire rental unit,Entire home/apt,3,1,1,2,48153,18,60,4.93,si,-34.5808,-58.4258,180
12708216,Balvanera,Entire rental unit,Entire home/apt,2,1,,2,55157,6,8,4.75,no,-34.6172,-58.4023,0
12715621,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,96778,2,26,4.54,no,-34.5955,-58.4221,0
12748942,Palermo,Entire rental unit,Entire home/apt,2,,,,,1,2,4,no,-34.59,-58.4246,0
12754901,Palermo,Entire rental unit,Entire home/apt,2,1,,1,99434,2,322,4.82,no,-34.5806,-58.4354,168
12775075,Recoleta,Entire rental unit,Entire home/apt,2,,,1,131553,3,2,5,no,-34.5911,-58.3896,0
12790544,Constitucion,Private room in rental unit,Private room,1,1.5,,1,66271,1,3,4.67,no,-34.6176,-58.3777,0
12794830,San Nicolas,Entire serviced apartment,Entire home/apt,2,1,1,1,68395,3,10,5,si,-34.6039,-58.3891,60
12797358,Recoleta,Entire rental unit,Entire home/apt,4,1,2,3,162723,7,5,4.8,si,-34.5885,-58.4011,0
13741017,Recoleta,Entire rental unit,Entire home/apt,2,1,,4,167259,5,7,4.14,no,-34.5901,-58.4032,0
12968942,Villa Crespo,Private room in home,Private room,1,1,,1,60052,3,9,5,no,-34.5917,-58.4362,24
12968972,Recoleta,Entire rental unit,Entire home/apt,2,1,1,1,92643,4,126,4.9,no,-34.5865,-58.4036,40
12970994,Palermo,Entire rental unit,Entire home/apt,3,1.5,2,2,115462,3,112,4.87,si,-34.5718,-58.4318,108
12997356,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,127978,1,449,4.78,si,-34.5815,-58.4239,252
13015811,Puerto Madero,Entire condo,Entire home/apt,3,1.5,1,2,196635,3,66,4.91,no,-34.6039,-58.3625,18
13039966,Belgrano,Entire rental unit,Entire home/apt,2,,1,,,7,53,4.89,no,-34.5563,-58.4571,0
13046149,Recoleta,Entire rental unit,Entire home/apt,6,,2,3,332520,3,1,5,si,-34.5917,-58.3986,0
13751301,Belgrano,Entire rental unit,Entire home/apt,4,2.5,2,3,179164,3,4,5,no,-34.566,-58.462,0
13762482,Recoleta,Entire rental unit,Entire home/apt,6,2.5,2,5,297540,3,4,5,no,-34.589,-58.41,0
13763459,Constitucion,Entire rental unit,Entire home/apt,3,1,,2,94019,3,3,3.33,no,-34.6193,-58.3915,12
13782950,Recoleta,Entire rental unit,Entire home/apt,7,2,3,3,363606,5,13,4.54,no,-34.5889,-58.4002,40
12805107,Palermo,Entire rental unit,Entire home/apt,2,1,1,1,109213,1,49,4.88,si,-34.5801,-58.432,42
12828085,Palermo,Entire condo,Entire home/apt,2,1,1,1,271858,1,26,5,si,-34.582,-58.4022,36
12829141,Palermo,Entire condo,Entire home/apt,3,,1,,,7,50,4.82,no,-34.5761,-58.4203,14
12833550,Recoleta,Entire rental unit,Entire home/apt,2,,1,,13710,180,1,5,no,-34.5954,-58.3955,0
12833940,Palermo,Entire rental unit,Entire home/apt,2,1,,1,145168,2,354,4.84,no,-34.5797,-58.4353,210
12833968,Palermo,Entire rental unit,Entire home/apt,5,2,2,1,171177,2,14,4.43,no,-34.5827,-58.4275,0
12842912,Palermo,Entire rental unit,Entire home/apt,3,2,2,2,363448,20,9,4.89,si,-34.5818,-58.4323,0
13799144,Recoleta,Entire rental unit,Entire home/apt,2,1.5,1,1,93790,1,112,4.98,si,-34.592,-58.3943,84
13810245,Balvanera,Entire loft,Entire home/apt,6,2,1,6,137944,3,25,4.84,no,-34.6185,-58.4,78
13811604,San Cristobal,Entire rental unit,Entire home/apt,6,2,1,7,121293,3,14,4.93,no,-34.6193,-58.3994,42
13813077,San Telmo,Private room in home,Private room,1,1.5,,1,36069,3,40,4.58,no,-34.6231,-58.3738,0
13830329,Balvanera,Private room in home,Private room,1,1.5,,1,31267,2,97,4.91,si,-34.6195,-58.4076,126
13047770,Palermo,Entire rental unit,Entire home/apt,3,1,2,2,80798,2,323,4.88,si,-34.5834,-58.428,156
13057469,Recoleta,Entire rental unit,Entire home/apt,2,1,1,1,83378,2,239,4.71,no,-34.591,-58.3992,216
13061596,Palermo,Entire condo,Entire home/apt,4,1,,4,92356,2,169,4.93,si,-34.5806,-58.4411,90
